timestamp,hour,minute,lat,long,head,bitrate,jitter,lost,obu_id
1666264839.0,12,20,40.631507933,-8.65480075,162.9,0.578,1.231,0,52
1666264839.1,12,20,40.63150794964812,-8.65480117175221,162.9,0.116,8.572,50,52
1666264839.2,12,20,40.63150796629622,-8.654801593504422,162.9,0.695,10.254,0,52
1666264839.3,12,20,40.63150798294434,-8.654802015256633,162.9,1.04,10.408,0,52
1666264839.4,12,20,40.63150799959245,-8.654802437008843,162.9,1.97,6.711,0,52
1666264839.5,12,20,40.63150801624055,-8.654802858761055,162.9,2.08,11.964,0,52
1666264839.6,12,20,40.63150803288868,-8.654803280513267,162.9,2.43,6.721,4,52
1666264839.7,12,20,40.63150804953677,-8.654803702265477,162.9,2.32,4.703,0,52
1666264839.8,12,20,40.63150806618488,-8.654804124017689,162.9,2.2,2.159,0,52
1666264839.9,12,20,40.63150808283299,-8.654804545769903,162.9,2.55,1.537,4,52
1666264840.0,12,20,40.631508083,-8.65480455,162.9,3.01,2.372,3,52
1666264840.1,12,20,40.631507378229855,-8.654804779411013,162.9,4.06,2.062,0,52
1666264840.2,12,20,40.63150667345972,-8.654805008822022,162.9,3.01,2.448,3,52
1666264840.3,12,20,40.63150596868957,-8.654805238233024,162.9,1.97,3.505,5,52
1666264840.4,12,20,40.63150526391943,-8.654805467644024,162.9,2.89,3.133,0,52
1666264840.5,12,20,40.631504559149285,-8.654805697055018,162.9,2.78,3.608,4,52
1666264840.6,12,20,40.63150385437914,-8.654805926466008,162.9,2.43,3.549,4,52
1666264840.7,12,20,40.631503149609,-8.654806155876992,162.9,2.32,3.218,4,52
1666264840.8,12,20,40.63150244483886,-8.654806385287971,162.9,1.27,5.289,8,52
1666264840.9,12,20,40.6315017400687,-8.654806614698947,162.9,1.74,3.782,6,52
1666264841.0,12,20,40.631501733,-8.654806617,162.9,1.97,2.39,10,52
1666264841.1,12,20,40.63150268016667,-8.654806306235228,162.9,2.66,4.02,14,52
1666264841.2,12,20,40.63150362733336,-8.654805995470449,162.9,2.2,3.128,5,52
1666264841.3,12,20,40.63150457450001,-8.65480568470566,162.9,2.66,1.206,4,52
1666264841.4,12,20,40.63150552166669,-8.654805373940864,162.9,1.39,1.731,7,52
1666264841.5,12,20,40.63150646883337,-8.654805063176056,162.9,2.2,2.207,9,52
1666264841.6,12,20,40.63150741600004,-8.654804752411241,162.9,2.2,2.196,9,52
1666264841.7,12,20,40.63150836316671,-8.654804441646418,162.9,3.82,3.791,5,52
1666264841.8,12,20,40.63150931033338,-8.654804130881585,162.9,4.17,1.825,2,52
1666264841.9,12,20,40.63151025750005,-8.654803820116744,162.9,3.94,1.358,5,52
1666264842.0,12,20,40.631510267,-8.654803817,162.9,3.48,1.694,6,52
1666264842.1,12,20,40.63151004125158,-8.654804201682413,162.9,4.29,1.317,5,52
1666264842.2,12,20,40.63150981550315,-8.654804586364827,162.9,2.31,2.361,4,52
1666264842.3,12,20,40.63150958975473,-8.654804971047238,162.9,1.39,4.079,14,52
1666264842.4,12,20,40.6315093640063,-8.654805355729644,162.9,2.09,3.61,10,52
1666264842.5,12,20,40.63150913825788,-8.65480574041205,162.9,1.39,4.347,14,52
1666264842.7,12,20,40.631508686761016,-8.654806509776853,162.9,0.348,12.787,40,52
1666264842.8,12,20,40.63150846101258,-8.654806894459249,162.9,0.464,10.606,77,52
1666264842.9,12,20,40.63150823526415,-8.654807279141643,162.9,1.51,9.131,40,52
1666264843.0,12,20,40.631508233,-8.654807283,162.9,2.43,12.204,34,52
1666264843.1,12,20,40.6315086363283,-8.65480831518302,162.9,2.32,6.055,20,52
1666264843.2,12,20,40.63150903965657,-8.654809347366054,162.9,2.55,2.377,12,52
1666264843.3,12,20,40.63150944298485,-8.6548103795491,162.9,2.2,2.159,9,52
1666264843.4,12,20,40.63150984631312,-8.654811411732158,162.9,2.55,1.024,15,52
1666264843.5,12,20,40.63151024964137,-8.654812443915228,162.9,1.74,2.47,21,52
1666264843.6,12,20,40.63151065296963,-8.654813476098312,162.9,1.97,2.053,10,52
1666264843.7,12,20,40.63151105629787,-8.654814508281408,162.9,0.116,2.188,50,52
1666264843.8,12,20,40.6315114596261,-8.654815540464515,162.9,0.812,7.867,12,52
1666264843.9,12,20,40.631511862954326,-8.654816572647636,162.9,1.97,14.159,61,52
1666264844.0,12,20,40.631511867,-8.654816583,162.9,2.2,8.568,36,52
1666264844.1,12,20,40.63151158764466,-8.65481689376479,162.9,1.74,6.682,25,52
1666264844.2,12,20,40.6315113082893,-8.654817204529579,162.9,0.463,10.361,20,52
1666264844.3,12,20,40.63151102893396,-8.654817515294365,162.9,1.04,9.861,67,52
1666264844.4,12,20,40.63151074957861,-8.654817826059148,162.9,1.97,9.599,45,52
1666264844.5,12,20,40.631510470223255,-8.654818136823929,162.9,0.927,11.419,46,52
1666264844.6,12,20,40.6315101908679,-8.654818447588704,162.9,1.27,10.854,62,52
1666264844.9,12,20,40.63150935280184,-8.654819379883023,162.9,1.74,28.673,76,52
1666264845.0,12,20,40.63150935,-8.654819383,162.9,2.43,11.365,41,52
1666264845.1,12,20,40.631510089953146,-8.654819673454078,162.9,2.43,4.869,36,52
1666264845.2,12,20,40.63151082990631,-8.654819963908162,162.9,2.43,3.649,22,52
1666264845.3,12,20,40.63151156985947,-8.654820254362253,162.9,2.09,2.678,21,52
1666264845.4,12,20,40.63151230981263,-8.654820544816351,162.9,1.74,2.154,31,52
1666264845.5,12,20,40.63151304976577,-8.654820835270453,162.9,1.39,3.25,20,52
1666264845.6,12,20,40.63151378971892,-8.654821125724563,162.9,2.32,3.296,25,52
