timestamp,edge,lat,long,head,time,bitrate_cell,jitter_cell,lost_cell
1663855124.1,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,1.53,41718727856.585,0
1663855124.2,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,4.69,2142938816.124,0
1663855124.3,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,6.22,41807833.331,57
1663855124.4,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,5.0,1769500.536,51
1663855124.5,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,8.15,10130.964,44
1663855124.6,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,9.17,32.165,67
1663855124.7,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,5.61,4.172,0
1663855124.8,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,6.42,1.051,70
1663855124.9,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,9.38,1.054,53
1663855125.0,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,9.68,1.345,57
1663855125.1,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,11.3,1.142,67
1663855125.2,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,14.9,1.158,51
1663855125.3,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,13.7,0.923,0
1663855125.4,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,17.2,0.765,34
1663855125.5,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,19.1,1.047,0
1663855125.6,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,19.9,0.779,16
1663855125.7,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,23.7,0.628,0
1663855125.8,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,15.4,1.292,0
1663855125.9,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,18.4,0.849,0
1663855126.0,"(3596765030, 1487207562, 0)",40.64354,-8.659373333,139.08,13:58,19.0,0.849,0
1663855126.1,"(3596765030, 1487207562, 0)",40.64354,-8.659373148094952,139.08,13:58,24.5,0.58,0
1663855126.2,"(3596765030, 1487207562, 0)",40.64354,-8.659372963189904,139.08,13:58,25.6,0.576,0
1663855126.3,"(3596765030, 1487207562, 0)",40.64354,-8.659372778284855,139.08,13:58,23.4,0.725,0
1663855126.4,"(3596765030, 1487207562, 0)",40.64354,-8.659372593379807,139.08,13:58,23.8,0.574,0
1663855126.5,"(1487207562, 3596765030, 0)",40.643539999999994,-8.65937240847476,139.08,13:58,22.8,0.66,0
1663855126.6,"(1487207562, 3596765030, 0)",40.643539999999994,-8.659372223569711,139.08,13:58,24.4,0.593,0
1663855126.7,"(1487207562, 3596765030, 0)",40.643539999999994,-8.659372038664662,139.08,13:58,26.1,0.612,0
1663855126.8,"(1487207562, 3596765030, 0)",40.643539999999994,-8.659371853759614,139.08,13:58,22.0,0.595,0
1663855126.9,"(1487207562, 3596765030, 0)",40.643539999999994,-8.659371668854567,139.08,13:58,21.1,0.506,0
1663855127.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,21.4,0.527,0
1663855127.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,18.7,0.672,0
1663855127.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,21.1,0.676,0
1663855127.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,18.5,1.035,0
1663855127.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,21.4,0.542,0
1663855127.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,18.2,0.517,0
1663855127.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,21.3,0.598,0
1663855127.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,19.9,0.624,0
1663855127.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,20.2,0.466,0
1663855127.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,20.2,0.534,0
1663855128.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,18.5,0.646,0
1663855128.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,22.1,0.706,0
1663855128.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,16.9,1.405,0
1663855128.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,22.1,0.73,0
1663855128.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,18.4,0.66,0
1663855128.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.2,0.815,0
1663855128.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,22.0,0.826,0
1663855128.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.5,0.717,0
1663855128.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.1,0.789,0
1663855128.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.2,0.72,0
1663855129.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.7,0.593,0
1663855129.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.5,0.604,0
1663855129.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.0,0.622,0
1663855129.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,18.9,0.794,0
1663855129.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,22.1,0.636,0
1663855129.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.8,0.578,0
1663855129.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.4,0.594,0
1663855129.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,17.8,0.788,0
1663855129.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.5,0.831,0
1663855129.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.7,0.736,0
1663855130.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.8,0.71,0
1663855130.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.6,0.627,0
1663855130.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,12.2,0.796,0
1663855130.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,16.4,0.742,0
1663855130.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.4,0.562,0
